contract_id,field,present,gold_answer,gold_spans
2themartcominc,anti_assignment,yes,,"[""All rights (under any applicable intellectual property right) granted herein are not sublicenseable,<omitted>transferable or assignable.""]"
2themartcominc,change_of_control,yes,,"[""If a majority of the equity securities of either 2TheMart or i-Escrow, Inc. (except that i-Escrow may sell all or a majority of its equity securities or voting interests to i-Escrow.com, and i-Escrow.com may sell all or a majority of its equity securities or voting interests to i-Escrow's existing shareholders, without triggering the foregoing) are acquired by another company during the term of this Agreement either company may terminate this Agreement, without liability, by giving a thirty (30) days written notice to the other party.""]"
2themartcominc,termination_for_convenience,no,,[]
2themartcominc,cap_on_liability,yes,,"[""EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.""]"
2themartcominc,uncapped_liability,yes,,"[""EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.""]"
2themartcominc,non_compete,yes,,"[""i-Escrow shall not run banner advertisements on the Co-Branded Site for any of 2TheMart's competitors.""]"
2themartcominc,exclusivity,no,,[]
2themartcominc,most_favored_nation,no,,[]
2themartcominc,governing_law,yes,California,"[""This Agreement will be governed and construed in accordance with the laws of the State of California without giving effect to conflict of laws principles.""]"
2themartcominc,renewal_term,yes,,"[""In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year."", ""A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.""]"
abilityinc,anti_assignment,yes,,"[""Provider may not assign, delegate or otherwise transfer either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of Recipient.""]"
abilityinc,change_of_control,no,,[]
abilityinc,termination_for_convenience,yes,,"[""Each of the Recipient and the Provider may, in their sole discretion, terminate this Agreement in whole or in part, at any time without cause, and without liability except, in the case of the Recipient, for required payment for services rendered and reimbursement for authorized expenses incurred, by providing at least 90 (ninety) days' prior written notice to the other party (such date, the \""Services Termination Date\"").""]"
abilityinc,cap_on_liability,no,,[]
abilityinc,uncapped_liability,no,,[]
abilityinc,non_compete,no,,[]
abilityinc,exclusivity,no,,[]
abilityinc,most_favored_nation,no,,[]
abilityinc,governing_law,yes,Israel,"[""This Agreement and any claim, controversy or dispute arising out of or related to this Agreement, any of the transactions contemplated hereby and/or the interpretation and enforcement of the rights and duties of the Parties, whether arising in contract, tort, equity or otherwise, shall be governed by and construed in accordance with the domestic laws of the State of Israel (including in respect of the statute of limitations or other limitations period applicable to any such claim, controversy or dispute), without giving effect to any choice or conflict of law provision or rule (whether of the State of Israel or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Israel.""]"
abilityinc,renewal_term,no,,[]
acceleratedtechnologiesholdi,anti_assignment,yes,,"[""No Joint      Venturer shall be authorized or empowered to mortgage, hypothecate, pledge,      sell, or transfer, an interest in the Joint Venture, nor confer on any      successor or assignee the right to become a Joint Venturer without the      consent of the other Joint Venturer.""]"
acceleratedtechnologiesholdi,change_of_control,no,,[]
acceleratedtechnologiesholdi,termination_for_convenience,no,,[]
acceleratedtechnologiesholdi,cap_on_liability,no,,[]
acceleratedtechnologiesholdi,uncapped_liability,no,,[]
acceleratedtechnologiesholdi,non_compete,no,,[]
acceleratedtechnologiesholdi,exclusivity,no,,[]
acceleratedtechnologiesholdi,most_favored_nation,no,,[]
acceleratedtechnologiesholdi,governing_law,yes,Pennsylvania,"[""The Joint Venturers declare that in entering into this      Agreement, they have contracted with reference to the laws of the      Commonwealth of Pennsylvania, and the construction and interpretation of      the terms and provisions of this Agreement shall be interpreted and      construed under the laws of the Commonwealth of Pennsylvania, except in      such cases and to such extent as the laws of another jurisdiction shall      necessarily control.""]"
acceleratedtechnologiesholdi,renewal_term,no,,[]
glumobileinc,anti_assignment,no,,[]
glumobileinc,change_of_control,no,,[]
glumobileinc,termination_for_convenience,no,,[]
glumobileinc,cap_on_liability,no,,[]
glumobileinc,uncapped_liability,no,,[]
glumobileinc,non_compete,no,,[]
glumobileinc,exclusivity,yes,,"[""Paragraph 1(a) of the Agreement is amended to provide that Fox grants Licensee a worldwide, exclusive (except as otherwise may be provided in the Agreement), non-transferable right and license to distribute video clips for the property \""KINGDOM OF HEAVEN\"" (\""KOH Video Clips\"")"", ""Licensee shall have the non-exclusive right and license to develop and distribute ICE AGE 2 Wireless Products during the Term of the Agreement for all Wireless Products set forth in this Paragraph 2(c) except the Game, for which Licensee shall have the exclusive right and license to develop and distribute until December 31, 2006."", ""For the avoidance of doubt, Licensee's right and license to develop and distribute the Game in connection with the Property \""ICE AGE 2\"" shall become non-exclusive after December 31, 2006.""]"
glumobileinc,most_favored_nation,no,,[]
glumobileinc,governing_law,no,,[]
glumobileinc,renewal_term,no,,[]
aurasystemsinc,anti_assignment,yes,,"[""Except as expressly provided for herein, neither party may assign or otherwise transfer any of its rights or obligations under this  Agreement without the other party's prior written approval and any such assignment or transfer shall be void.""]"
aurasystemsinc,change_of_control,yes,,"[""Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events:\n\n\n  (a) At the election of either party, in writing, if: (i) all or substantially all of the assets of the non-terminating party are transferred, sold or  liquidated;<omitted>or (v) the ownership or  operations of the non-terminating party have materially changed;""]"
aurasystemsinc,termination_for_convenience,yes,,"[""Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events:<omitted>(d) By either party hereto upon sixty (60) days prior written notice to the other party hereto;""]"
aurasystemsinc,cap_on_liability,yes,,"[""NEITHER PARTY SHALL NOT BE LIABLE TO THE OTHER FOR ANY DAMAGES, LOSSES OR EXPENSES RESULTING FROM ANY  TERMINATION OR EXPIRATION OF THIS AGREEMENT ARISING FROM ANY CLAIMS ASSERTED WHICH ARE BASED UPON  LOSS OF GOODWILL, PROSPECTIVE PROFITS OR ANTICIPATED ORDERS, OR ON ACCOUNT OF ANY EXPENDITURES,  INVESTMENTS, LEASES OR COMMITMENTS MADE BY SUCH PARTY;"", ""IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY SPECIAL,  CONSEQUENTIAL OR INDIRECT DAMAGES, HOWEVER CAUSED.""]"
aurasystemsinc,uncapped_liability,no,,[]
aurasystemsinc,non_compete,yes,,"[""Any such agreement\n\n\n\n\n\n\n\n\n\n  reached between Zanotti and Aura regarding such worldwide sales and marketing shall prohibit competition among Zanotti and Aura with regard  to AETRU Systems and shall be memorized in a separate agreement between the Parties.""]"
